0.004,0,0.019
0.012,0,0.057
0.06,0.002,0.285
0.234,0.006,1.113
0.775,0.023,3.723
1.61,0.066,7.862
2.453,0.162,12.309
2.777,0.313,14.647
2.5,0.514,14.346
1.717,0.798,11.299
0.861,1.239,7.309
0.283,1.839,4.128
0.04,2.948,2.466
0.088,4.632,1.447
0.593,6.587,0.736
1.59,8.308,0.401
2.799,9.197,0.196
4.207,9.65,0.085
5.657,9.471,0.037
7.132,8.902,0.02
8.54,8.112,0.015
9.255,6.829,0.01
9.835,5.838,0.007
9.469,4.753,0.004
8.009,3.573,0.002
5.926,2.443,0.001
4.171,1.629,0
2.609,0.984,0
1.541,0.57,0
0.855,0.313,0
0.434,0.158,0
0.194,0.07,0
0.097,0.035,0
0.05,0.018,0
0.022,0.008,0
0.012,0.004,0
